src_port,dest_port,http_method,http_status,http_resp_len,http_url_len,url_contains_script_tag,url_contains_onerror,url_contains_onload,url_contains_onclick,url_contains_onmouseover,url_contains_onfocus,url_contains_alert,url_contains_javascript,url_contains_eval,url_contains_document,url_contains_cookie,url_contains_iframe,url_contains_svg,url_contains_img,url_contains_object,url_contains_embed,http_method_GET,http_method_POST,http_method_PUT,http_method_DELETE,url_has_query_params,url_query_param_count,url_encoded_chars,url_suspicious_chars,response_2xx,response_3xx,response_4xx,response_5xx,is_malicious,attack_type,timestamp,original_url
33024,3000,GET,200,3748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:06:21.478308+0000,/
33040,3000,GET,200,12460,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:06:24.524230+0000,/api/Products
33044,3000,GET,200,3748,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,benign,2025-07-29T16:06:27.536661+0000,/?q=banana
33058,3000,GET,200,80222,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:06:30.581085+0000,/api/Challenges
37612,3000,GET,200,3748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:06:33.594133+0000,/
37616,3000,GET,200,12460,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:06:36.632103+0000,/api/Products
37620,3000,GET,200,3748,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,benign,2025-07-29T16:06:39.644897+0000,/?q=healthy
46466,3000,GET,500,3285,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,benign,2025-07-29T16:06:42.660374+0000,/api/Baskets
46474,3000,GET,200,3748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:06:45.675389+0000,/
46476,3000,GET,200,12460,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:06:48.713957+0000,/api/Products
41682,3000,GET,200,3748,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,benign,2025-07-29T16:06:51.725502+0000,/?q=juice
41698,3000,GET,401,982,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,benign,2025-07-29T16:06:54.738148+0000,/api/Users
41700,3000,GET,200,3748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:06:57.751932+0000,/
41710,3000,GET,200,12460,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:07:00.787981+0000,/api/Products
33470,3000,GET,200,3748,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,benign,2025-07-29T16:07:03.800767+0000,/?q=orange
33478,3000,GET,200,80222,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:07:06.851869+0000,/api/Challenges
33484,3000,GET,200,3748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:07:09.865614+0000,/
54180,3000,GET,200,12460,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,benign,2025-07-29T16:07:12.899352+0000,/api/Products
